Objective;Wavelength;Zoom;ETL-Left-Offset;ETL-Left-Amp;ETL-Right-Offset;ETL-Right-Amp
1x;405 nm;0.63x;2.4900000000000038;0.6950000000000021;2.655999999999999;1.2649999999999966
1x;405 nm;0.8x;2.709000000000003;0.7819999999999996;2.720000000000001;0.7249999999999999
1x;405 nm;1x;2.4900000000000038;0.61;2.6550000000000002;0.5949999999999999
1x;405 nm;1.25x;2.555999999999995;0.657;3.053;0.546
1x;405 nm;1.6x;2.6919999999999953;0.3689999999999999;2.797999999999998;0.3809999999999999
1x;405 nm;2x;2.498999999999993;0.2859999999999996;2.6669999999999994;0.312
1x;405 nm;2.5x;2.4839999999999955;0.2900000000000001;2.667;0.20799999999999985
1x;405 nm;3.2x;2.4809999999999928;0.243;2.67;0.21900000000000014
1x;405 nm;4x;2.708999999999996;0.13299999999999995;3.056;0.16999999999999998
1x;405 nm;5x;2.486999999999993;0.17800000000000007;2.6850000000000005;0.2
1x;405 nm;6.3x;2.67;0.25;2.677999999999998;0.058999999999999886
1x;488 nm;0.63x;2.4000000000000012;1.5100000000000002;2.579999999999995;1.2399999999999993
1x;488 nm;0.8x;2.5259999999999994;0.798;2.65;0.65
1x;488 nm;1x;2.611999999999998;0.792;2.6480000000000024;0.556
1x;488 nm;1.25x;2.6419999999999946;0.5539999999999999;2.6080000000000028;0.4039999999999999
1x;488 nm;1.6x;2.3880000000000026;0.524;2.5880000000000014;0.44899999999999995
1x;488 nm;2x;2.4860000000000055;0.388;2.7410000000000014;0.242
1x;488 nm;2.5x;2.386999999999998;0.3990000000000001;2.5870000000000006;0.26999999999999996
1x;488 nm;3.2x;2.5639999999999956;0.16599999999999993;2.5910000000000006;0.20499999999999996
1x;488 nm;4x;2.6069999999999953;0.17099999999999999;2.694;0.11200000000000002
1x;488 nm;5x;2.557;0.145;2.753;0.05499999999999998
1x;488 nm;6.3x;2.3919999999999972;0.14100000000000001;2.7120000000000006;0.07899999999999999
1x;515 nm;0.63x;2.3970000000000007;0.9629999999999999;2.580999999999999;0.9540000000000004
1x;515 nm;0.8x;2.3970000000000007;0.81;2.571999999999999;0.8360000000000001
1x;515 nm;1x;2.3919999999999986;0.782;2.5840000000000005;0.702
1x;515 nm;1.25x;2.600999999999994;0.523;2.596;0.56
1x;515 nm;1.6x;2.3340000000000067;0.41400000000000003;2.58899999999999;0.45099999999999996
1x;515 nm;2x;2.3899999999999992;0.388;2.584;0.392
1x;515 nm;2.5x;2.3920000000000075;0.317;2.59199999999999;0.26199999999999996
1x;515 nm;3.2x;2.3910000000000076;0.20499999999999974;2.58999999999999;0.174
1x;515 nm;4x;2.388000000000008;0.21900000000000006;2.5689999999999995;0.16200000000000003
1x;515 nm;5x;2.3920000000000075;0.16799999999999998;2.59499999999999;0.12599999999999997
1x;515 nm;6.3x;2.389000000000008;0.12300000000000003;2.59299999999999;0.09399999999999992
1x;561 nm;0.63x;2.3609999999999935;1.086;2.51;1.06
1x;561 nm;0.8x;2.641999999999996;0.6;2.6609999999999983;0.75
1x;561 nm;1x;2.6339999999999932;0.5820000000000001;2.6090000000000027;0.616
1x;561 nm;1.25x;2.5940000000000003;0.632;2.691;0.42700000000000005
1x;561 nm;1.6x;2.5819999999999963;0.47999999999999987;2.6650000000000014;0.3639999999999999
1x;561 nm;2x;2.5219999999999865;0.388;2.599;0.296
1x;561 nm;2.5x;2.39;0.37600000000000017;2.593;0.324
1x;561 nm;3.2x;2.39;0.2760000000000001;2.593;0.26800000000000007
1x;561 nm;4x;2.629999999999998;0.179;2.654;0.141
1x;561 nm;5x;2.566;0.14399999999999996;2.719;0.07600000000000004
1x;561 nm;6.3x;2.391;0.10400000000000001;2.5939999999999994;0.12800000000000003
1x;594 nm;0.63x;2.4080000000000017;1.2600000000000002;2.583999999999999;0.8499999999999996
1x;594 nm;0.8x;2.4180000000000015;1.12;2.5849999999999986;0.7799999999999998
1x;594 nm;1x;2.4180000000000015;0.9000000000000004;2.659;0.53
1x;594 nm;1.25x;2.403000000000002;0.6150000000000002;2.5949999999999984;0.5299999999999999
1x;594 nm;1.6x;2.4080000000000017;0.44000000000000006;2.5999999999999983;0.35999999999999976
1x;594 nm;2x;2.403000000000002;0.37000000000000005;2.6019999999999994;0.30999999999999994
1x;594 nm;2.5x;2.398000000000002;0.3900000000000002;2.5999999999999983;0.24499999999999966
1x;594 nm;3.2x;2.4040000000000084;0.23799999999999957;2.6029999999999998;0.21500000000000002
1x;594 nm;4x;2.405000000000008;0.26400000000000007;2.671;0.13
1x;594 nm;5x;2.4010000000000065;0.14399999999999996;2.6039999999999934;0.12999999999999998
1x;594 nm;6.3x;2.401000000000008;0.13800000000000004;2.5999999999999908;0.09199999999999992
1x;647 nm;0.63x;2.739;1.52;2.9010000000000002;1.224
1x;647 nm;0.8x;2.423000000000008;0.9560000000000002;2.6049999999999938;1.018
1x;647 nm;1x;2.587;0.97;2.6710000000000003;0.704
1x;647 nm;1.25x;2.647;0.532;2.9669999999999996;0.539
1x;647 nm;1.6x;2.4210000000000083;0.5359999999999999;2.6129999999999955;0.4299999999999998
1x;647 nm;2x;2.562999999999981;0.374;2.619;0.366
1x;647 nm;2.5x;2.417000000000007;0.3799999999999999;2.606999999999996;0.27999999999999997
1x;647 nm;3.2x;2.6139999999999994;0.166;2.609;0.242
1x;647 nm;4x;2.405000000000008;0.26400000000000007;2.974;0.158
1x;647 nm;5x;2.557;0.145;2.7619999999999996;0.10099999999999999
1x;647 nm;6.3x;2.495;0.2;2.753999999999995;0.11799999999999994
